,sbj_ID,task,trialn,target,confound,expected,observed,correct,rt
0,6124f23ea1f4ef44fe280dd4,familiarity,17,SYJEO,ZROHX,0,1,False,983.0
0,6124f23ea1f4ef44fe280dd4,familiarity,18,FDO,PMZ,1,0,False,1304.0
0,6124f23ea1f4ef44fe280dd4,familiarity,19,RMPE,DNYM,1,0,False,1042.0
0,6124f23ea1f4ef44fe280dd4,familiarity,20,VUWYK,OPFHS,0,0,True,1365.0
0,6124f23ea1f4ef44fe280dd4,familiarity,21,TQZU,GUVR,0,0,True,1282.0
0,6124f23ea1f4ef44fe280dd4,familiarity,22,WBCH,WPBQ,1,0,False,1149.0
0,6124f23ea1f4ef44fe280dd4,familiarity,23,EZUR,WDRL,0,1,False,920.0
0,6124f23ea1f4ef44fe280dd4,familiarity,24,CEKG,YNQY,1,0,False,1439.0
0,6124f23ea1f4ef44fe280dd4,familiarity,25,NKMT,BYCY,1,1,True,1192.0
0,6124f23ea1f4ef44fe280dd4,familiarity,26,TSL,JNO,1,1,True,1074.0
0,6124f23ea1f4ef44fe280dd4,familiarity,27,ZQA,AJH,1,0,False,1165.0
0,6124f23ea1f4ef44fe280dd4,familiarity,28,GNFQW,YSWYO,0,1,False,808.0
0,6124f23ea1f4ef44fe280dd4,familiarity,29,HIK,ELG,1,1,True,1249.0
0,6124f23ea1f4ef44fe280dd4,familiarity,30,RCIJK,UXVTI,0,0,True,981.0
0,612e6bf6f0eba168c2a1dc35,familiarity,1,XZQF,TJGU,0,0,True,3765.0
0,612e6bf6f0eba168c2a1dc35,familiarity,2,KLDSJ,PKCBH,0,1,False,1116.0
0,612e6bf6f0eba168c2a1dc35,familiarity,3,WLXCM,FIDMG,0,0,True,919.0
0,612e6bf6f0eba168c2a1dc35,familiarity,4,OVOUL,XPWJF,0,0,True,880.0
0,612e6bf6f0eba168c2a1dc35,familiarity,5,PVNDE,BWRLY,0,0,True,1198.0
0,612e6bf6f0eba168c2a1dc35,familiarity,6,OAFQ,QWFU,0,1,False,994.0
0,612e6bf6f0eba168c2a1dc35,familiarity,7,ZOWZ,RWUK,1,1,True,1256.0
0,612e6bf6f0eba168c2a1dc35,familiarity,8,THXI,AWSU,0,0,True,1119.0
0,612e6bf6f0eba168c2a1dc35,familiarity,9,BHPZ,LDEG,0,0,True,1550.0
0,612e6bf6f0eba168c2a1dc35,familiarity,10,TGNL,PGOL,1,0,False,1072.0
0,612e6bf6f0eba168c2a1dc35,familiarity,11,VXB,KSL,0,0,True,916.0
0,612e6bf6f0eba168c2a1dc35,familiarity,12,GNWH,EVOF,0,0,True,1121.0
0,612e6bf6f0eba168c2a1dc35,familiarity,13,JEGI,TEKU,1,1,True,917.0
0,612e6bf6f0eba168c2a1dc35,familiarity,14,QGZS,QYLK,1,1,True,1316.0
0,612e6bf6f0eba168c2a1dc35,familiarity,15,ROFW,NRPO,1,1,True,1235.0
0,612e6bf6f0eba168c2a1dc35,familiarity,16,VEVCH,NVLXN,1,1,True,802.0
0,612e6bf6f0eba168c2a1dc35,familiarity,17,BNPNC,PWEXE,0,1,False,1299.0
0,612e6bf6f0eba168c2a1dc35,familiarity,18,PWZE,OWMF,1,1,True,1064.0
0,612e6bf6f0eba168c2a1dc35,familiarity,19,QPMY,MGAL,0,0,True,839.0
0,612e6bf6f0eba168c2a1dc35,familiarity,20,KBLP,ULUJ,1,0,False,1046.0
0,612e6bf6f0eba168c2a1dc35,familiarity,21,KVAQW,GQFHX,1,1,True,1117.0
0,612e6bf6f0eba168c2a1dc35,familiarity,22,TGPV,ZDOZ,0,0,True,1085.0
0,612e6bf6f0eba168c2a1dc35,familiarity,23,OQG,KXH,0,1,False,1289.0
0,612e6bf6f0eba168c2a1dc35,familiarity,24,DXLI,NJLI,0,1,False,1208.0
0,612e6bf6f0eba168c2a1dc35,familiarity,25,VWLD,LNYV,0,0,True,971.0
0,612e6bf6f0eba168c2a1dc35,familiarity,26,VRVJ,UCSU,1,1,True,1006.0
0,612e6bf6f0eba168c2a1dc35,familiarity,27,NRGJ,CEKG,0,1,False,1219.0
0,612e6bf6f0eba168c2a1dc35,familiarity,28,CZPW,BABJ,0,0,True,733.0
0,612e6bf6f0eba168c2a1dc35,familiarity,29,PBIQU,MXCUI,0,0,True,1166.0
0,612e6bf6f0eba168c2a1dc35,familiarity,30,EPKS,TCSB,1,1,True,1194.0
0,61353c933f32fef782432cc7,familiarity,1,BTEH,ILIN,1,1,True,5325.0
0,61353c933f32fef782432cc7,familiarity,2,LSZGA,JNIWK,0,1,False,3543.0
0,61353c933f32fef782432cc7,familiarity,3,UXS,TGB,0,1,False,3554.0
0,61353c933f32fef782432cc7,familiarity,4,LNYV,CPLQ,0,0,True,2518.0
0,61353c933f32fef782432cc7,familiarity,5,GJVMZ,NAPYQ,0,0,True,1638.0
0,61353c933f32fef782432cc7,familiarity,6,WPBQ,SHSP,1,1,True,1351.0
0,61353c933f32fef782432cc7,familiarity,7,UBSU,RMPE,0,0,True,1301.0
0,61353c933f32fef782432cc7,familiarity,8,YVN,UZQ,0,1,False,1507.0
