"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","response","stimulus","success","item","task","correct_response","testing_condition","correct","target","confound","name","view_history"
"html-keyboard-response","756","1623039","0.0-25.0-0.97","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","269","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">dRbDbkcOY<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","dRbDbkcOY","testing","k","[""morphemeXmorcode""]","true","","","",""
"html-keyboard-response","757","1623169","0.0-25.0-0.98","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","128","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">NulkZckv<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","NulkZckv","testing","k","[""morphemeXmorpheme""]","true","","","",""
"html-keyboard-response","758","1623271","0.0-25.0-0.99","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","100","d","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">dRbDbYDTk<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","dRbDbYDTk","testing","k","[""morphemeXmorpheme""]","false","","","",""
"html-keyboard-response","759","1623340","0.0-25.0-0.100","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","67","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">JmNkZckv<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","JmNkZckv","testing","k","[""morcodeXmorpheme""]","true","","","",""
"html-keyboard-response","760","1623480","0.0-25.0-0.101","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","138","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">NulkdEPD<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","NulkdEPD","testing","d","[""morphemeXmorpheme""]","false","","","",""
"html-keyboard-response","761","1623723","0.0-25.0-0.102","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","240","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">ODBDANaJb<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","ODBDANaJb","testing","d","[""morcodeXmorcode""]","false","","","",""
"html-keyboard-response","762","1623802","0.0-25.0-0.103","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","78","d","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">BdtACEPBT<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","BdtACEPBT","testing","k","[""morcodeXmorpheme""]","false","","","",""
"html-keyboard-response","763","1624041","0.0-25.0-0.104","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","237","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">advYOOtlR<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","advYOOtlR","testing","d","[""morcodeXmorcode""]","false","","","",""
"html-keyboard-response","764","1624182","0.0-25.0-0.105","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","139","d","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">uOAOdUr<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","uOAOdUr","testing","d","[""morcodeXmorcode""]","true","","","",""
"html-keyboard-response","765","1624216","0.0-25.0-0.106","6171d922c871ba795b6a4827","650c16f0f2faf8d7a0d14c09","651d21d2a5246a3a0a2b6757","31","k","<p style=""font-size: 30px"">&emsp;</p><br><p style=""font-size: 60px; font-family: BACS"">lkAkLUOk<p style=""font-size: 15px"">Press <strong>k</strong> for yes, <strong>d</strong> for no.</p>","","lkAkLUOk","testing","k","[""morphemeXmorpheme""]","true","","","",""
